,question,answer_text,distractor
0,meal serv,room p,outsid room p dine room p dine room p
1,It infer passag,the local govern deal problem lack money mean,If tragedi occur relev depart state council take respons complet current central govern establish sound manag system guarante school bu safeti central local govern share cost build modern school rural area
2,the author call tommi parent order,help realiz influenc tommi,blame tommi fail grade blame tommi fail grade
3,It infer passag,writer will use idiom,idiom import part languag nonn speaker learn idiom way master idiom
4,how deal snake wound accord passag,stay calm n move,cut wound suck poison
5,what writer problem studi board school first,she miss famili much,she n like new school she n get along well classmat she n like new teacher
6,who kill februari small town near johannesburg,chen jianq one partner,chen jianq husband chen jingmin hong kong businessman chen jingmin one
7,accord writer follow statement true,soccer popular world truli great player,million peopl world play soccer seven countri ever famou star onli seven countri south america western europ ever nation team soccer seem least popular north america asia
8,dure fire children often,panic,know certain step
9,what titl passag,five children die kindergarten bu accid,A bu accid deng zhou all primari school kindergarten vehicl dengzhou the driver bu put custodi polic
10,We feel unhappi,fight classmat,get good grade
11,what not effect revolut,the king tri control nation parliament,juli becom french nation day loui wife mari kill
12,what infer passag,wang jinbi want transform hukou back want make live hometown,sun yukun chang resid statu like beij xie yongqiang say need student transform hukou tang yanwei want urban hukou beij plenti preferenti polici
13,which follow statement true accord passag,poverti famili problem contribut child beg,premier wen jiabao chat Yu jianrong onlin one foundat set hotlin miss children acwf promis offer ren fangfang free plastic surgeri
14,accord author follow statement true,fight back tear may caus health problem,cri best way get help other We never know deep feel unless cri We must cri want reduc pressur
15,accord survey,choos food relat asian american situat,asia american care less health percent american like junk food immigr forc eat junk food
16,the purpos connect futur,make america get ahead digit learn,make school teach digit technolog enabl school connect internet equip school high speed internet year
17,when writer first meet frank,In air raid shelter war,In mr west hous In london west hous destroy
18,To deal e mail get follow except,download everi e mail repli,respond right away urgent schedul later repli take much time
19,one reason mani colleg adopt websit,encourag student seek advic depress,provid student campu inform offer medic treatment student mental disord give student variou help may need
20,the purpos author write passag,give us advic keep brain healthi,inform us brain work tell us brain play import role live show special brain us
21,which follow statement wrong accord passag,all ocean world pollut oil,the water bodi earth dead year without effect measur It possibl creatur sea die action taken
22,what writer attitud toward digit footprint,We use name onlin,We get onlin We share comput We worri digit footprint
23,how scientist deal high temperatur,By observ phenomenon close,By set new trend soon
24,most peopl come loomi eggplant festiv,enjoy food eggplant,promot eggplant
25,accord research parent prais children much children,alway look prais,increas self confid
26,which follow not true tradit marriag,the woman made decis,men work job earn money famili the woman stay home care children the man paid bill
27,accord passag learn,win honor caus lesley worri,ro lost weight got marri roz think born slimmer
28,which follow true accord passag,dad thought one outsid cut flower stem,No one knew sister done carnat My younger sister told father truth carnat dad ask sister help arrang carnat ground
29,whi murbach take job serious,becaus want everyon happi choic,becaus wish attract peopl attent
30,peopl north west greet say,reeit,hou gaun
31,accord survey mani chines peopl survey feel old,year old,year old year old year old
32,whi cotton kick ball goalmouth,far away,steven jump stop ball side head third game scotland
33,We infer ana purpos write liz,seek advic make boss know want posit,tell liz boss look new job ask liz abil take boss posit ask liz advic find much better job
34,from passag learn author,quit free know befriend old peopl childhood,use experi young today never afraid get old
35,We learn writer opinion,take note import test,take note easi thing teacher n provid inform test take note import listen teacher
36,On one birthday blow candl,make wish,invit friend eat birthday cake
37,from passag know,peopl world realiz urgenc task,environment protect inde demand task govern peopl damag environ purpos day live anoth planet earth damag
38,when back home writer worri,whether katerina adapt school life,how steven get along well katerina how katerina commun jason whether good mother katerina
39,At first young man refus clean shoe,n think necessari,clean shoe
40,By say rememb stop smell rose author intend,find beauti life,notic world around
41,which follow wrong,the train carri peopl,there dine room train there fast train slow train We see train ground
42,which follow not true british student,they like tell score,they exam year parent meet held end term
43,where ted live,He live big citi,He live school
44,what best titl text,job stage introduc ipad,ipad better origin best applic ipad ipad vs competitor
45,accord lao lang know,folk song alway stori belong popular music,folk song help amateur singer becom famou easili folk song one intend profession popular song use young express
46,It conclud result studi,solid evid inadequ prove color affect us,larger studi may help confirm color effect behavior wall paint differ color depend differ task
47,We conclud passag,clone make possibl preserv endang speci,anim die futur clone seldom result physic problem anim
48,accord john barrett key attract U S famili broadband servic,appli internet entertain,make internet look similar TV set chip away core non subscrib
49,the author could n practic drive mother,mother made nervou,could n talk mother father want teach
50,If child grown may take child thing,children home children hospic,youth club children home children hospic night shelter youth club night shelter
51,what might best titl passag,A walk day keep doctor away,long life come walk walk help cure heart diseas An hour walk natur worth two gym
52,A sound system law enforc necessari,poorli enforc law caus crime violenc,citizen fear hate law need someon stronger stop crime forc evil result break law get fewer fewer
53,onc man,boy girl,good look boy two good look children
54,In way googl machin translat differ previou one,intern offici paper program major sourc,linguist guid comput translat googl rule dictionari fed comput support googl daili updat program comput translat
55,accord passag go go busi sale find,cheat owner,good worth price price especi lower
56,the passag tell us,new york first citi world electr light,edison n like studi school edison invent light bulb late twenti even without electron might radio TV comput space travel
57,the author return car car sick pill,kid need windiest trip ahead,see doorman made sick want doorman open door kid concern restaur meal
58,from select know cat,take nap add regular sleep,occasion sleep well nap everi day take nap happi
59,which best titl passag,It time protect chines languag,english Is veri import china chines Is most popular world more more foreign learn chines
60,what conclus drawn read passag,the father actual kind son,the father treat son unfair way the father neither kind cruel son the father alway find mistak son
61,what would best titl passag ks u,old peopl life china,how respect old peopl old peopl problem old peopl wish
62,from passag know author,almost fine polic,could drive fast mph car slip side
63,which follow true westlak colleg,It old colleg america,all teacher use comput student laptop student everyth
64,miss goger rais question want know whether,student grasp lesson,easi phone lo angel
65,whi sesam street workshop fun other,becaus great sound effect anim,becaus children mail letter favorit charact becaus alway educ children love
66,which park suitabl child disabl,challeng grove park,boundari creek natur resourc area
67,the main topic text,origin develop standard english use nowaday,differ standard english non standard english influenc standard english non standard english differ standard english london dialect
68,the best titl passag,take nap day,advantag deep sleep disadvantag take nap american n nap
69,We conclud passag,nois seriou problem,rock music n nois nois traffic peopl hate sound
70,the passag mainli talk,histori earli flight attend,background earli fli pilot experi fli passeng
71,the articl,import play,relationship play work children speech develop
72,what mainli talk passag,Mo yan nobel prize literatur,Mo yan written mani famou book Mo yan stori translat foreign languag alfr nobel set nobel prize
73,whi lacobelli elect presid ugli club everi year,becaus member trust admir,becaus ugliest person whole world becaus ugli alway grade bearabl becaus spokesperson ugli peopl everywher
74,what problem microsoft,lot user refus switch XP window,window XP date need improv window run wors window XP No peopl like upgrad oper system
75,which follw explan two sink accept psychologist,human surviv signific individu,social statu play decis role surviv
76,whi ronald hoffman award nobel prize chemistri,He succeed appli comput scienc chemistri research,He establish rule predict chemic reaction He succeed chemistri comput research
77,all follow statement true except,the UK higher educ industri stand among top five export earner england,internet user n need get credit cours UK may top list onlin educ one day some foreign student may think UK univers satisfi
78,whi author like cowboy much spite ugli,becaus sad lone need companion,becaus love hors anyth els becaus cowboy strong smart young hors becaus cowboy lot common poni
79,the purpos passag,explain peopl act emerg,explain peopl fail act emerg explain peopl emerg explain peopl feel emerg
